origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.01,2468.640868110655
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.025,2503.313647959161
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.05,2543.013597407079
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.1,2588.479443879448
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.15,2620.702527517776
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.2,2652.5087731529006
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.25,2675.627566138518
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.3,2696.5780342994053
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.35,2718.6194870117115
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.4,2737.189951455231
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.45,2758.304826855712
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.5,2778.092705527074
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.55,2799.840476783292
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.6,2820.445988602876
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.65,2842.289474408132
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.7,2864.684325301959
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.75,2889.909544588886
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.8,2915.8217314380445
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.85,2947.6377648657026
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.9,2986.943154652828
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.95,3041.747049087906
2026-02-18,ILI incidence,-1,2026-02-01,AT,quantile,0.975,3078.42389701076
