origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.01,1001.79
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.01,559.50
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.01,299.90
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.01,154.30
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.025,1024.69
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.025,580.40
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.025,313.19
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.025,160.79
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.05,1059.26
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.05,601.29
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.05,323.28
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.05,166.00
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.1,1101.49
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.1,675.58
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.1,399.36
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.1,225.39
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.15,1135.50
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.15,701.89
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.15,415.20
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.15,236.80
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.2,1162.75
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.2,720.58
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.2,426.72
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.2,243.12
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.25,1184.98
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.25,735.94
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.25,435.92
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.25,248.63
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.3,1198.74
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.3,746.00
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.3,442.75
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.3,251.90
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.35,1213.33
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.35,755.07
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.35,449.11
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.35,256.24
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.4,1227.89
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.4,765.97
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.4,455.52
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.4,259.65
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.45,1249.20
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.45,781.37
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.45,464.36
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.45,264.27
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.5,1277.73
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.5,799.92
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.5,475.30
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.5,270.45
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.55,1307.67
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.55,818.89
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.55,486.24
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.55,275.68
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.6,1335.96
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.6,835.79
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.6,494.89
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.6,280.49
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.65,1370.34
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.65,856.79
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.65,505.44
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.65,285.16
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.7,1402.96
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.7,876.87
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.7,517.93
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.7,291.92
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.75,1427.30
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.75,902.05
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.75,532.82
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.75,300.54
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.8,1451.01
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.8,928.80
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.8,555.04
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.8,316.48
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.85,1476.30
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.85,954.03
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.85,587.61
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.85,335.86
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.9,1510.82
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.9,989.70
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.9,626.32
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.9,386.26
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.95,1567.84
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.95,1048.90
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.95,674.13
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.95,416.61
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.975,1670.55
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.975,1132.60
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.975,730.91
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.975,455.40
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.99,1777.44
2026-02-11,ILI incidence,2026-02-15,2,AT,quantile,0.99,1217.93
2026-02-11,ILI incidence,2026-02-22,3,AT,quantile,0.99,789.63
2026-02-11,ILI incidence,2026-03-01,4,AT,quantile,0.99,493.91
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.01,337.30
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.01,315.90
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.01,282.08
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.01,241.92
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.025,342.56
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.025,321.30
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.025,287.69
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.025,246.89
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.05,349.69
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.05,326.96
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.05,293.60
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.05,253.20
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.1,363.99
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.1,347.89
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.1,322.87
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.1,287.99
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.15,376.63
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.15,368.84
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.15,344.72
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.15,305.43
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.2,383.89
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.2,375.57
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.2,351.04
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.2,313.64
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.25,389.43
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.25,380.48
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.25,356.46
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.25,321.49
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.3,393.80
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.3,385.18
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.3,362.11
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.3,328.14
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.35,398.28
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.35,389.46
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.35,366.77
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.35,334.10
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.4,401.92
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.4,394.46
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.4,373.56
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.4,342.95
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.45,406.20
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.45,400.70
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.45,384.71
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.45,354.36
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.5,410.18
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.5,406.97
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.5,393.56
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.5,364.04
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.55,414.84
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.55,414.05
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.55,400.90
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.55,373.35
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.6,420.50
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.6,422.04
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.6,408.66
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.6,382.10
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.65,428.54
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.65,429.64
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.65,416.37
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.65,388.10
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.7,436.20
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.7,436.61
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.7,421.93
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.7,393.63
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.75,443.10
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.75,443.12
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.75,428.90
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.75,400.20
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.8,452.80
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.8,451.40
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.8,437.52
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.8,413.88
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.85,465.81
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.85,470.71
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.85,459.15
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.85,430.92
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.9,483.92
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.9,492.12
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.9,478.20
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.9,447.91
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.95,506.32
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.95,512.50
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.95,498.90
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.95,464.00
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.975,524.20
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.975,539.89
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.975,537.12
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.975,509.61
2026-02-11,ILI incidence,2026-02-08,1,EE,quantile,0.99,541.00
2026-02-11,ILI incidence,2026-02-15,2,EE,quantile,0.99,557.21
2026-02-11,ILI incidence,2026-02-22,3,EE,quantile,0.99,552.11
2026-02-11,ILI incidence,2026-03-01,4,EE,quantile,0.99,523.00
2026-02-11,ILI incidence,2026-02-08,1,FR,quantile,0.01,225.91
2026-02-11,ILI incidence,2026-02-15,2,FR,quantile,0.01,206.08
2026-02-11,ILI incidence,2026-02-22,3,FR,quantile,0.01,178.55
2026-02-11,ILI incidence,2026-03-01,4,FR,quantile,0.01,148.32
2026-02-11,ILI incidence,2026-02-08,1,FR,quantile,0.025,229.68
2026-02-11,ILI incidence,2026-02-15,2,FR,quantile,0.025,209.12
2026-02-11,ILI incidence,2026-02-22,3,FR,quantile,0.025,183.76
2026-02-11,ILI incidence,2026-03-01,4,FR,quantile,0.025,154.40
2026-02-11,ILI incidence,2026-02-08,1,FR,quantile,0.05,234.48
2026-02-11,ILI incidence,2026-02-15,2,FR,quantile,0.05,215.34
2026-02-11,ILI incidence,2026-02-22,3,FR,quantile,0.05,189.99
2026-02-11,ILI incidence,2026-03-01,4,FR,quantile,0.05,161.84
2026-02-11,ILI incidence,2026-02-08,1,FR,quantile,0.1,243.50
2026-02-11,ILI incidence,2026-02-15,2,FR,quantile,0.1,230.22
2026-02-11,ILI incidence,2026-02-22,3,FR,quantile,0.1,210.56
2026-02-11,ILI incidence,2026-03-01,4,FR,quantile,0.1,184.40
2026-02-11,ILI incidence,2026-02-08,1,FR,quantile,0.15,256.08
2026-02-11,ILI incidence,2026-02-15,2,FR,quantile,0.15,246.07
2026-02-11,ILI incidence,2026-02-22,3,FR,quantile,0.15,223.20
2026-02-11,ILI incidence,2026-03-01,4,FR,quantile,0.15,193.91
2026-02-11,ILI incidence,2026-02-08,1,FR,quantile,0.2,261.48
2026-02-11,ILI incidence,2026-02-15,2,FR,quantile,0.2,253.26
2026-02-11,ILI incidence,2026-02-22,3,FR,quantile,0.2,230.38
2026-02-11,ILI incidence,2026-03-01,4,FR,quantile,0.2,199.09
2026-02-11,ILI incidence,2026-02-08,1,FR,quantile,0.25,265.70
2026-02-11,ILI incidence,2026-02-15,2,FR,quantile,0.25,256.94
2026-02-11,ILI incidence,2026-02-22,3,FR,quantile,0.25,234.80
2026-02-11,ILI incidence,2026-03-01,4,FR,quantile,0.25,203.57
2026-02-11,ILI incidence,2026-02-08,1,FR,quantile,0.3,269.30
2026-02-11,ILI incidence,2026-02-15,2,FR,quantile,0.3,259.60
2026-02-11,ILI incidence,2026-02-22,3,FR,quantile,0.3,239.91
2026-02-11,ILI incidence,2026-03-01,4,FR,quantile,0.3,211.40
2026-02-11,ILI incidence,2026-02-08,1,FR,quantile,0.35,272.96
2026-02-11,ILI incidence,2026-02-15,2,FR,quantile,0.35,261.97
2026-02-11,ILI incidence,2026-02-22,3,FR,quantile,0.35,243.16
2026-02-11,ILI incidence,2026-03-01,4,FR,quantile,0.35,217.90
2026-02-11,ILI incidence,2026-02-08,1,FR,quantile,0.4,277.00
2026-02-11,ILI incidence,2026-02-15,2,FR,quantile,0.4,264.58
2026-02-11,ILI incidence,2026-02-22,3,FR,quantile,0.4,246.40
2026-02-11,ILI incidence,2026-03-01,4,FR,quantile,0.4,223.20
2026-02-11,ILI incidence,2026-02-08,1,FR,quantile,0.45,280.30
2026-02-11,ILI incidence,2026-02-15,2,FR,quantile,0.45,267.45
2026-02-11,ILI incidence,2026-02-22,3,FR,quantile,0.45,249.20
2026-02-11,ILI incidence,2026-03-01,4,FR,quantile,0.45,226.80
2026-02-11,ILI incidence,2026-02-08,1,FR,quantile,0.5,283.11
2026-02-11,ILI incidence,2026-02-15,2,FR,quantile,0.5,270.53
2026-02-11,ILI incidence,2026-02-22,3,FR,quantile,0.5,253.20
2026-02-11,ILI incidence,2026-03-01,4,FR,quantile,0.5,230.22
2026-02-11,ILI incidence,2026-02-08,1,FR,quantile,0.55,285.70
2026-02-11,ILI incidence,2026-02-15,2,FR,quantile,0.55,273.80
2026-02-11,ILI incidence,2026-02-22,3,FR,quantile,0.55,256.20
2026-02-11,ILI incidence,2026-03-01,4,FR,quantile,0.55,234.10
2026-02-11,ILI incidence,2026-02-08,1,FR,quantile,0.6,288.00
2026-02-11,ILI incidence,2026-02-15,2,FR,quantile,0.6,278.31
2026-02-11,ILI incidence,2026-02-22,3,FR,quantile,0.6,260.12
2026-02-11,ILI incidence,2026-03-01,4,FR,quantile,0.6,238.24
2026-02-11,ILI incidence,2026-02-08,1,FR,quantile,0.65,290.90
