origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.01,593.21358303895
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.025,626.5646799979313
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.05,651.7022811391677
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.1,679.1112114228017
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.15,697.4905669951416
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.2,709.7908500157789
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.25,721.7960807823636
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.3,733.1475904986337
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.35,744.5260425376836
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.4,754.2518249067336
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.45,763.6309122790647
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.5,772.2897654184296
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.55,781.857891061755
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.6,790.7135476084986
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.65,800.167760382493
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.7,810.1172528150645
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.75,821.271267445961
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.8,832.9073421512163
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.85,846.4963117166881
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.9,864.2449524933457
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.95,892.9711765122538
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.975,913.6054934251591
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.99,937.4509714137114
2026-02-25,ARI incidence,2026-02-22,1,BG,median,,772.2897654184296
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.01,132.8278354510976
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.025,196.82205932158672
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.05,242.8137787579841
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.1,295.4772738234519
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.15,332.2786970396711
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.2,358.6449463115025
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.25,382.2142828790479
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.3,403.7950541280153
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.35,425.3933606242706
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.4,444.85449421153726
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.45,463.76380250879004
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.5,482.09812640438145
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.55,501.1660353194293
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.6,519.14699837862
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.65,537.7451101733727
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.7,556.8199320469437
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.75,578.6135872613141
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.8,602.948401190779
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.85,630.4011683188241
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.9,666.006736329494
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.95,720.4275164063286
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.975,763.7214168385763
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.99,814.8895457963731
2026-02-25,ARI incidence,2026-03-01,2,BG,median,,482.09812640438145
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.01,0
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.025,0
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.05,0
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.1,0
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.15,0
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.2,36.09226701080843
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.25,72.2873255539048
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.3,105.32121949396446
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.35,138.1558783262915
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.4,167.7532574047433
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.45,194.4144277283558
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.5,223.07010950844688
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.55,251.50440465165116
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.6,278.37064667336927
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.65,307.50566257771027
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.7,336.4293230868027
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.75,369.4210972762579
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.8,407.07864333836073
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.85,450.55355736674437
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.9,503.8363430767033
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.95,584.8538088344745
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.975,647.6388795759749
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.99,723.687630727909
2026-02-25,ARI incidence,2026-03-08,3,BG,median,,223.07010950844688
2026-02-25,ARI incidence,2026-03-15,4,BG,quantile,0.01,0
2026-02-25,ARI incidence,2026-03-15,4,BG,quantile,0.025,0
2026-02-25,ARI incidence,2026-03-15,4,BG,quantile,0.05,0
2026-02-25,ARI incidence,2026-03-15,4,BG,quantile,0.1,0
2026-02-25,ARI incidence,2026-03-15,4,BG,quantile,0.15,0
