origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.01,1965.0973722841782
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.025,2102.6932852746827
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.05,2226.9229133207086
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.1,2377.153460491934
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.15,2482.8820213292242
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.2,2569.4894305585935
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.25,2645.6466064340284
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.3,2715.5230648457136
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.35,2781.546896518338
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.4,2845.3445609803434
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.45,2908.146656611785
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.5,2971.000000000001
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.55,3034.904391304687
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.6,3100.927724707357
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.65,3170.3361027258657
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.7,3244.783006465192
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.75,3326.6402527455784
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.8,3419.6718521585753
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.85,3530.650800266669
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.9,3674.243164147558
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.95,3895.374914887607
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.975,4095.430703580125
2026-02-11,ILI incidence,2026-02-08,1,AT,quantile,0.99,4337.983697913739
2026-02-11,ILI incidence,2026-02-08,1,BE,quantile,0.01,380.1955575477787
2026-02-11,ILI incidence,2026-02-08,1,BE,quantile,0.025,413.55648782057204
2026-02-11,ILI incidence,2026-02-08,1,BE,quantile,0.05,443.66450047356204
2026-02-11,ILI incidence,2026-02-08,1,BE,quantile,0.1,480.03387503435135
2026-02-11,ILI incidence,2026-02-08,1,BE,quantile,0.15,505.5914901269907
2026-02-11,ILI incidence,2026-02-08,1,BE,quantile,0.2,526.4980533791083
2026-02-11,ILI incidence,2026-02-08,1,BE,quantile,0.25,544.857852752975
