target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2026-02-25,2026-02-22,0.01,1,quantile,1331.01380437141
ILI incidence,AT,2026-02-25,2026-02-22,0.025,1,quantile,1391.39464220979
ILI incidence,AT,2026-02-25,2026-02-22,0.05,1,quantile,1497.24246930221
ILI incidence,AT,2026-02-25,2026-02-22,0.1,1,quantile,1641.3072386638
ILI incidence,AT,2026-02-25,2026-02-22,0.15,1,quantile,1738.86114263261
ILI incidence,AT,2026-02-25,2026-02-22,0.2,1,quantile,1825.46790398525
ILI incidence,AT,2026-02-25,2026-02-22,0.25,1,quantile,1894.57632313228
ILI incidence,AT,2026-02-25,2026-02-22,0.3,1,quantile,1953.0861761565
ILI incidence,AT,2026-02-25,2026-02-22,0.35,1,quantile,2020.97710484657
ILI incidence,AT,2026-02-25,2026-02-22,0.4,1,quantile,2116.71259179243
ILI incidence,AT,2026-02-25,2026-02-22,0.45,1,quantile,2195.96722774852
ILI incidence,AT,2026-02-25,2026-02-22,0.5,1,quantile,2280.41007659602
ILI incidence,AT,2026-02-25,2026-02-22,0.55,1,quantile,2334.93589033367
ILI incidence,AT,2026-02-25,2026-02-22,0.6,1,quantile,2412.57118060003
ILI incidence,AT,2026-02-25,2026-02-22,0.65,1,quantile,2483.69670248142
ILI incidence,AT,2026-02-25,2026-02-22,0.7,1,quantile,2576.55711802104
ILI incidence,AT,2026-02-25,2026-02-22,0.75,1,quantile,2659.08646375035
ILI incidence,AT,2026-02-25,2026-02-22,0.8,1,quantile,2756.04795616882
ILI incidence,AT,2026-02-25,2026-02-22,0.85,1,quantile,2847.19551310928
ILI incidence,AT,2026-02-25,2026-02-22,0.9,1,quantile,3048.91192279165
ILI incidence,AT,2026-02-25,2026-02-22,0.95,1,quantile,3267.39465590899
ILI incidence,AT,2026-02-25,2026-02-22,0.975,1,quantile,3500.8567710941
ILI incidence,AT,2026-02-25,2026-02-22,0.99,1,quantile,3792.29019583797
ILI incidence,AT,2026-02-25,2026-03-01,0.01,2,quantile,872.421941190588
ILI incidence,AT,2026-02-25,2026-03-01,0.025,2,quantile,1001.25161103389
ILI incidence,AT,2026-02-25,2026-03-01,0.05,2,quantile,1113.92130896946
ILI incidence,AT,2026-02-25,2026-03-01,0.1,2,quantile,1286.22983617601
ILI incidence,AT,2026-02-25,2026-03-01,0.15,2,quantile,1386.34474273934
ILI incidence,AT,2026-02-25,2026-03-01,0.2,2,quantile,1474.49679650472
ILI incidence,AT,2026-02-25,2026-03-01,0.25,2,quantile,1576.48763580747
ILI incidence,AT,2026-02-25,2026-03-01,0.3,2,quantile,1676.93476751674
ILI incidence,AT,2026-02-25,2026-03-01,0.35,2,quantile,1780.65149823461
ILI incidence,AT,2026-02-25,2026-03-01,0.4,2,quantile,1866.81609007956
ILI incidence,AT,2026-02-25,2026-03-01,0.45,2,quantile,1955.11420124196
ILI incidence,AT,2026-02-25,2026-03-01,0.5,2,quantile,2042.81522307361
ILI incidence,AT,2026-02-25,2026-03-01,0.55,2,quantile,2154.20617405812
ILI incidence,AT,2026-02-25,2026-03-01,0.6,2,quantile,2231.4934029642
ILI incidence,AT,2026-02-25,2026-03-01,0.65,2,quantile,2326.29116209085
ILI incidence,AT,2026-02-25,2026-03-01,0.7,2,quantile,2451.69961234289
ILI incidence,AT,2026-02-25,2026-03-01,0.75,2,quantile,2566.14805676485
ILI incidence,AT,2026-02-25,2026-03-01,0.8,2,quantile,2719.04392749233
ILI incidence,AT,2026-02-25,2026-03-01,0.85,2,quantile,2878.01258359264
ILI incidence,AT,2026-02-25,2026-03-01,0.9,2,quantile,3159.26351310177
ILI incidence,AT,2026-02-25,2026-03-01,0.95,2,quantile,3618.7133836599
ILI incidence,AT,2026-02-25,2026-03-01,0.975,2,quantile,4028.59546895945
ILI incidence,AT,2026-02-25,2026-03-01,0.99,2,quantile,4340.45048213038
ILI incidence,AT,2026-02-25,2026-03-08,0.01,3,quantile,552.016151889605
ILI incidence,AT,2026-02-25,2026-03-08,0.025,3,quantile,676.808848361419
ILI incidence,AT,2026-02-25,2026-03-08,0.05,3,quantile,781.756657783791
ILI incidence,AT,2026-02-25,2026-03-08,0.1,3,quantile,948.325892418607
ILI incidence,AT,2026-02-25,2026-03-08,0.15,3,quantile,1049.25079132621
ILI incidence,AT,2026-02-25,2026-03-08,0.2,3,quantile,1169.02118421281
ILI incidence,AT,2026-02-25,2026-03-08,0.25,3,quantile,1290.63142340776
ILI incidence,AT,2026-02-25,2026-03-08,0.3,3,quantile,1390.35657671767
ILI incidence,AT,2026-02-25,2026-03-08,0.35,3,quantile,1471.56089596412
ILI incidence,AT,2026-02-25,2026-03-08,0.4,3,quantile,1573.96623452821
ILI incidence,AT,2026-02-25,2026-03-08,0.45,3,quantile,1697.17812322497
