target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2026-02-25,2026-02-22,0.01,1,quantile,1480.9870065446
ILI incidence,AT,2026-02-25,2026-02-22,0.025,1,quantile,1561.98038529245
ILI incidence,AT,2026-02-25,2026-02-22,0.05,1,quantile,1656.45869812169
ILI incidence,AT,2026-02-25,2026-02-22,0.1,1,quantile,1768.01719353219
ILI incidence,AT,2026-02-25,2026-02-22,0.15,1,quantile,1845.49896828605
ILI incidence,AT,2026-02-25,2026-02-22,0.2,1,quantile,1908.70751574715
ILI incidence,AT,2026-02-25,2026-02-22,0.25,1,quantile,1966.75208757758
ILI incidence,AT,2026-02-25,2026-02-22,0.3,1,quantile,2005.5239600049
ILI incidence,AT,2026-02-25,2026-02-22,0.35,1,quantile,2054.67585731222
ILI incidence,AT,2026-02-25,2026-02-22,0.4,1,quantile,2086.99537582161
ILI incidence,AT,2026-02-25,2026-02-22,0.45,1,quantile,2131.49863378352
ILI incidence,AT,2026-02-25,2026-02-22,0.5,1,quantile,2170.25863015594
ILI incidence,AT,2026-02-25,2026-02-22,0.55,1,quantile,2213.47587127338
ILI incidence,AT,2026-02-25,2026-02-22,0.6,1,quantile,2256.63919211117
ILI incidence,AT,2026-02-25,2026-02-22,0.65,1,quantile,2308.41321274442
ILI incidence,AT,2026-02-25,2026-02-22,0.7,1,quantile,2345.58611852284
ILI incidence,AT,2026-02-25,2026-02-22,0.75,1,quantile,2409.76529400549
ILI incidence,AT,2026-02-25,2026-02-22,0.8,1,quantile,2490.58543044137
ILI incidence,AT,2026-02-25,2026-02-22,0.85,1,quantile,2564.73126132587
ILI incidence,AT,2026-02-25,2026-02-22,0.9,1,quantile,2656.08848422419
ILI incidence,AT,2026-02-25,2026-02-22,0.95,1,quantile,2796.3613557642
ILI incidence,AT,2026-02-25,2026-02-22,0.975,1,quantile,2863.3030350177
ILI incidence,AT,2026-02-25,2026-02-22,0.99,1,quantile,2993.04285937074
ILI incidence,AT,2026-02-25,2026-03-01,0.01,2,quantile,1008.20312340147
ILI incidence,AT,2026-02-25,2026-03-01,0.025,2,quantile,1132.30897940954
ILI incidence,AT,2026-02-25,2026-03-01,0.05,2,quantile,1235.0517374189
ILI incidence,AT,2026-02-25,2026-03-01,0.1,2,quantile,1378.30070492368
ILI incidence,AT,2026-02-25,2026-03-01,0.15,2,quantile,1453.73320744644
ILI incidence,AT,2026-02-25,2026-03-01,0.2,2,quantile,1536.41818315423
ILI incidence,AT,2026-02-25,2026-03-01,0.25,2,quantile,1601.43171949154
ILI incidence,AT,2026-02-25,2026-03-01,0.3,2,quantile,1650.32017541001
ILI incidence,AT,2026-02-25,2026-03-01,0.35,2,quantile,1716.76621193948
ILI incidence,AT,2026-02-25,2026-03-01,0.4,2,quantile,1763.55857794987
ILI incidence,AT,2026-02-25,2026-03-01,0.45,2,quantile,1804.02615637973
ILI incidence,AT,2026-02-25,2026-03-01,0.5,2,quantile,1855.96363008854
ILI incidence,AT,2026-02-25,2026-03-01,0.55,2,quantile,1911.30700617264
ILI incidence,AT,2026-02-25,2026-03-01,0.6,2,quantile,1975.72460939357
ILI incidence,AT,2026-02-25,2026-03-01,0.65,2,quantile,2037.23535638379
ILI incidence,AT,2026-02-25,2026-03-01,0.7,2,quantile,2119.11790357575
ILI incidence,AT,2026-02-25,2026-03-01,0.75,2,quantile,2206.62486817551
ILI incidence,AT,2026-02-25,2026-03-01,0.8,2,quantile,2301.72009935563
ILI incidence,AT,2026-02-25,2026-03-01,0.85,2,quantile,2407.12405573013
ILI incidence,AT,2026-02-25,2026-03-01,0.9,2,quantile,2544.04882435701
