"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2026-02-25,1,2026-02-22,0.01,2560.57,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.025,2570.9,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.05,2585.65,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.1,2601.7,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.15,2615.7,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.2,2620.8,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.25,2628.5,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.3,2634.8,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.35,2640.95,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.4,2645.6,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.45,2651.65,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.5,2657,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.55,2663.45,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.6,2672.4,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.65,2677.7,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.7,2683.6,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.75,2691,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.8,2694.2,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.85,2699.45,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.9,2711.4,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.95,2741,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.975,2746.725,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.99,2753.44,"quantile","ILI incidence","AT"
2026-02-25,1,2026-02-22,0.01,478.74,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.025,488.425,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.05,492,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.1,500.8,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.15,504,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.2,506.8,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.25,511.75,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.3,515.7,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.35,517.65,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.4,521,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.45,523.55,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.5,527,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.55,531,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.6,533,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.65,535.7,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.7,540,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.75,542.25,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.8,543,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.85,547.15,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.9,552.4,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.95,566.05,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.975,568,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.99,574.01,"quantile","ILI incidence","BE"
2026-02-25,1,2026-02-22,0.01,16,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.025,17,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.05,18.9,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.1,20.9,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.15,22,"quantile","ILI incidence","HR"
