origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.01,1974.136851200735
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.01,1884.1591216705788
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.01,1826.169412539522
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.01,1787.444867721022
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.025,1987.140204298949
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.025,1898.301434657764
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.025,1840.8782980536007
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.025,1802.4446551340925
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.05,2008.3987106042216
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.05,1921.4219673033383
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.05,1864.9250906833831
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.05,1826.9670281628075
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.1,2049.550264178106
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.1,1966.1779734007728
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.1,1911.474121973466
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.1,1874.4366731584985
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.15,2089.175291930724
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.15,2009.273745727401
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.15,1956.296406833632
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.15,1920.145421358831
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.2,2127.5681232731376
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.2,2051.0293939211874
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.2,1999.7248792062287
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.2,1964.4327912373867
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.25,2164.9733226032786
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.25,2091.7109037040395
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.25,2042.0361807930424
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.25,2007.5808957191985
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.3,2201.599442171248
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.3,2131.545094356557
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.3,2083.4662177597565
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.3,2049.830306554677
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.35,2237.628937376711
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.35,2170.730402493418
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.35,2124.2213765333813
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.35,2091.391491935116
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.4,2273.225599962644
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.4,2209.444966328387
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.4,2164.486931940909
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.4,2132.4533909215484
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.45,2308.540376002787
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.45,2247.852953257592
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.45,2204.43362828965
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.45,2173.19012468102
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.5,2343.7161520828995
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.5,2286.109765260981
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.5,2244.2230933086635
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.5,2213.7665175011084
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.55,2378.891928163012
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.55,2324.3665772643703
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.55,2284.0125583276763
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.55,2254.342910321197
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.6,2414.206704203156
