origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.01,1678.3254048303895
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.01,1253.0928124497857
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.01,906.4804584867143
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.01,634.6037178961333
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.025,1701.6798198825413
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.025,1281.200084854782
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.025,932.3119454391582
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.025,661.1507340896621
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.05,1722.7312682098268
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.05,1307.8927217011371
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.05,957.4969610849065
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.05,686.7298392776338
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.1,1761.3409259242387
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.1,1344.4447690638383
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.1,990.251934023304
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.1,713.136121749224
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.15,1787.79874479401
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.15,1374.879061190937
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.15,1017.0155014090877
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.15,734.732253558246
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.2,1812.81519696405
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.2,1402.3513176152564
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.2,1043.0687612712682
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.2,759.206226171313
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.25,1832.5953198694842
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.25,1431.288585229131
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.25,1075.118133518918
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.25,780.3266731313331
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.3,1864.8797238046673
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.3,1451.7293087121247
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.3,1098.6663338235944
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.3,806.2428784295547
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.35,1888.8502552744105
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.35,1473.6276392587367
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.35,1117.073763897143
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.35,825.5187826937909
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.4,1913.3060265481843
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.4,1492.2573634866408
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.4,1138.8085676558178
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.4,849.5350524690144
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.45,1933.5100257540244
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.45,1521.0398856882066
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.45,1162.6140454146012
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.45,874.9052373514432
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.5,1955.8787793562567
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.5,1542.177009101552
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.5,1191.125267382118
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.5,899.7848084991234
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.55,1984.7827097433922
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.55,1570.04346791793
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.55,1218.745033435945
