origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.01,1684.7096260571375
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.01,1374.960796704098
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.01,1089.9835459875812
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.01,833.1249540080063
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.025,1759.648721097936
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.025,1421.5939904882457
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.025,1121.648250378688
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.025,858.4847160645642
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.05,1809.525613694987
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.05,1465.556685625346
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.05,1154.0755503119562
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.05,899.2918475620882
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.1,1892.0535709318835
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.1,1532.3520772535744
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.1,1218.4844432446623
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.1,937.2636144256106
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.15,1964.5249322217132
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.15,1601.4922145023086
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.15,1261.6404369402978
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.15,974.1364353886192
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.2,2037.9540067424423
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.2,1653.438735494347
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.2,1310.6592290028048
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.2,1014.3259150934698
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.25,2090.8354857993654
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.25,1709.82305895858
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.25,1358.793221797612
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.25,1054.0391619214465
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.3,2137.2165735503027
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.3,1753.6034835968073
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.3,1400.417141665097
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.3,1088.4797659807703
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.35,2179.842241011422
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.35,1795.201881454129
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.35,1434.01918121478
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.35,1121.5375469106757
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.4,2229.255751267483
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.4,1831.6424944887358
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.4,1470.3741603960912
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.4,1159.6000967206724
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.45,2267.2145720519434
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.45,1880.2957132526394
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.45,1516.5619437424532
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.45,1189.167983116445
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.5,2314.6662508704703
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.5,1920.6583863728376
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.5,1556.139706413155
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.5,1228.017340779181
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.55,2353.305036242261
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.55,1963.9450550823876
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.55,1591.4723900856955
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.55,1267.9458664242568
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.6,2402.752228251838
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.6,2000.1548054348627
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.6,1631.553867395014
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.6,1313.8698994518206
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.65,2447.7003413841226
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.65,2058.0245203658483
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.65,1691.2307510915957
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.65,1365.5171379101043
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.7,2493.6968020553763
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.7,2119.1515087992625
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.7,1751.342912252301
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.7,1425.2294232583736
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.75,2538.43713527016
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.75,2184.5468883520552
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.75,1809.5999315164572
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.75,1474.3916741955347
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.8,2593.1179279977646
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.8,2246.279305789881
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.8,1888.269210083944
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.8,1560.2880582971527
2026-02-25,ILI incidence,2026-02-22,1,AT,quantile,0.85,2664.364607504525
2026-02-25,ILI incidence,2026-03-01,2,AT,quantile,0.85,2316.62415440201
2026-02-25,ILI incidence,2026-03-08,3,AT,quantile,0.85,1982.6877571256289
2026-02-25,ILI incidence,2026-03-15,4,AT,quantile,0.85,1671.813113468822
