"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.01",1015.0515403516
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.025",1033.65090361096
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.05",1058.55377409819
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.1",1086.73676273468
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.15",1107.56374082991
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.2",1125.97384302608
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.25",1141.64766891531
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.3",1158.42659810229
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.35",1173.26887969703
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.4",1188.27847936665
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.45",1202.35904404666
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.5",1216.13827169792
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.55",1230.95534119887
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.6",1248.14339403621
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.65",1264.84850145282
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.7",1280.66426662106
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.75",1297.73432191739
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.8",1321.19260985157
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.85",1349.46637244052
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.9",1379.11357453652
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.95",1419.11441650146
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.975",1458.66283320099
2026-02-25,"ARI incidence",2026-02-08,-1,"BG","quantile","0.99",1508.43773685926
2026-02-25,"ARI incidence",2026-02-08,-1,"CZ","quantile","0.01",1077.22415137455
2026-02-25,"ARI incidence",2026-02-08,-1,"CZ","quantile","0.025",1092.27713213016
2026-02-25,"ARI incidence",2026-02-08,-1,"CZ","quantile","0.05",1106.47895745621
2026-02-25,"ARI incidence",2026-02-08,-1,"CZ","quantile","0.1",1124.41423022156
2026-02-25,"ARI incidence",2026-02-08,-1,"CZ","quantile","0.15",1137.64684660446
2026-02-25,"ARI incidence",2026-02-08,-1,"CZ","quantile","0.2",1149.58392588562
2026-02-25,"ARI incidence",2026-02-08,-1,"CZ","quantile","0.25",1161.12850634475
2026-02-25,"ARI incidence",2026-02-08,-1,"CZ","quantile","0.3",1171.2843023609
