origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.010,1525.8999999999996
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.025,1985.0
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.050,2226.5
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.100,2412.7
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.150,2636.7999999999997
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.200,2746.2000000000003
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.250,2805.7
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.300,2863.8
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.350,2999.3
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.400,3041.6000000000004
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.450,3124.0
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.500,3190.9
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.550,3264.9
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.600,3341.0
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.650,3375.7
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.700,3526.2999999999997
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.750,3569.3
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.800,3628.7999999999997
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.850,3751.2999999999997
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.900,3969.9
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.950,4159.0
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.975,4390.0
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.990,4849.1
2026-02-11,ILI incidence,1,2026-02-08,AT,median,,3190.9
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.010,743.3619999999996
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.025,1390.3675
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.050,1764.2
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.100,2144.75
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.150,2341.5099999999993
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.200,2510.6
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.250,2657.8
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.300,2776.5000000000005
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.350,2890.4300000000003
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.400,2998.4
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.450,3114.8
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.500,3204.6499999999996
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.550,3312.38
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.600,3417.68
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.650,3525.84
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.700,3634.9199999999996
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.750,3754.825
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.800,3894.6400000000003
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.850,4060.29
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.900,4296.4
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.950,4651.329999999999
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.975,5019.207499999996
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.990,5651.147000000004
2026-02-11,ILI incidence,2,2026-02-15,AT,median,,3204.6499999999996
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.010,436.66199999999986
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.025,1004.7450000000002
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.050,1427.2199999999998
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.100,1855.1
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.150,2119.8849999999998
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.200,2325.48
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.250,2508.675
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.300,2661.48
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.350,2814.7599999999998
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.400,2954.6400000000003
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.450,3093.6
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.500,3220.1499999999996
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.550,3345.9800000000005
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.600,3467.2
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.650,3607.335
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.700,3744.6299999999997
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.750,3902.325
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.800,4073.04
