"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.01",330.935421841295
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.025",372.966359081852
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.05",413.360748676444
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.1",465.391946839384
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.15",504.148723730804
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.2",537.240531793048
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.25",567.356162125668
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.3",595.836960399191
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.35",623.503370681249
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.4",650.943005140263
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.45",678.640001200524
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.5",707.048217870569
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.55",736.645616983358
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.6",767.989176389147
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.65",801.787457616677
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.7",839.016737160815
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.75",881.134665958235
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.8",930.527673936786
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.85",991.606561441746
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.9",1074.18528788269
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.95",1209.39683797906
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.975",1340.38143178547
2026-02-25,"ARI incidence",2026-02-22,1,"BG","quantile","0.99",1510.61853582325
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.01",441.895855018737
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.025",475.339196976629
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.05",506.119835601385
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.1",544.089759497073
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.15",571.304419109583
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.2",593.901349360111
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.25",613.998492840116
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.3",632.625275690892
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.35",650.389819433066
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.4",667.707672365486
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.45",684.901661964392
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.5",702.255273445441
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.55",720.048579919449
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.6",738.590388417742
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.65",758.256747486934
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.7",779.549107555569
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.75",803.198175293158
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.8",830.377754846459
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.85",863.221870138092
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.9",906.399101386843
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.95",974.398619441465
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.975",1037.49590233388
2026-02-25,"ARI incidence",2026-03-01,2,"BG","quantile","0.99",1116.0151503594
2026-02-25,"ARI incidence",2026-03-08,3,"BG","quantile","0.01",203.227681828271
2026-02-25,"ARI incidence",2026-03-08,3,"BG","quantile","0.025",247.278358553607
2026-02-25,"ARI incidence",2026-03-08,3,"BG","quantile","0.05",292.728900256251
2026-02-25,"ARI incidence",2026-03-08,3,"BG","quantile","0.1",355.592147790305
2026-02-25,"ARI incidence",2026-03-08,3,"BG","quantile","0.15",405.466374651879
2026-02-25,"ARI incidence",2026-03-08,3,"BG","quantile","0.2",450.04792985788
2026-02-25,"ARI incidence",2026-03-08,3,"BG","quantile","0.25",492.18174482672
